日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他,発生場所：住居,発生場所：仕事場①,発生場所：仕事場② ,発生場所：教育機関,発生場所：公衆(屋内),発生場所：公衆(屋外),発生場所：道路,発生場所：その他
2022/6/1,13,18,0,0,6,0,12,0,0,1,2,15,0,6,0,0,5,2,1,4,0
2022/6/2,13,19,0,0,8,6,5,0,0,0,4,15,0,5,0,0,7,3,2,2,0
2022/6/3,13,3,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0
2022/6/4,13,13,0,0,6,4,3,0,0,1,4,8,0,3,0,0,4,2,3,1,0
2022/6/5,13,11,0,0,3,5,3,0,0,1,1,9,0,2,0,0,1,3,3,2,0
2022/6/6,13,3,0,0,2,1,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0
2022/6/7,13,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
2022/6/8,13,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2022/6/9,13,2,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
2022/6/10,13,4,0,0,1,2,1,0,0,0,0,4,0,0,0,0,1,1,0,2,0
2022/6/11,13,6,0,0,1,3,2,0,0,0,0,6,0,1,0,0,1,0,2,1,1
2022/6/12,13,3,0,0,0,1,2,0,0,0,1,2,0,2,0,0,0,0,0,1,0
2022/6/13,13,11,0,2,2,2,5,0,0,0,2,9,0,2,0,0,2,1,2,4,0
2022/6/14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/6/15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/6/16,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2022/6/17,13,11,0,0,1,3,7,0,0,0,4,7,0,2,0,0,1,3,0,5,0
2022/6/18,13,8,0,0,0,4,4,0,0,1,1,6,0,1,0,0,1,1,3,2,0
